danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.669,0.749,7,-6.811,0,0.141,0.413,0.0,0.0848,0.608,80.169,audio_features,2qtoRFCOEL1gRn5q9DJC7F,spotify:track:2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/tracks/2qtoRFCOEL1gRn5q9DJC7F,https://api.spotify.com/v1/audio-analysis/2qtoRFCOEL1gRn5q9DJC7F,78743,4
0.589,0.0941,10,-14.447,0,0.138,0.985,8.55e-06,0.108,0.376,91.987,audio_features,6dPjRptilDo0E3dLWm88QC,spotify:track:6dPjRptilDo0E3dLWm88QC,https://api.spotify.com/v1/tracks/6dPjRptilDo0E3dLWm88QC,https://api.spotify.com/v1/audio-analysis/6dPjRptilDo0E3dLWm88QC,77375,1
0.608,0.0664,1,-18.857,1,0.0596,0.758,0.945,0.0978,0.294,139.232,audio_features,1VMdwVq0yaTc4DeqSCi7DO,spotify:track:1VMdwVq0yaTc4DeqSCi7DO,https://api.spotify.com/v1/tracks/1VMdwVq0yaTc4DeqSCi7DO,https://api.spotify.com/v1/audio-analysis/1VMdwVq0yaTc4DeqSCi7DO,76280,4
0.6,0.885,11,-6.21,0,0.393,0.0157,6.02e-06,0.856,0.736,105.003,audio_features,04CyMEHliadfQWMUJb1w99,spotify:track:04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/tracks/04CyMEHliadfQWMUJb1w99,https://api.spotify.com/v1/audio-analysis/04CyMEHliadfQWMUJb1w99,111458,4
0.706,0.57,11,-7.129,1,0.0841,0.689,0.0698,0.288,0.96,115.864,audio_features,6jypaMkKsoc5npsVzxhksl,spotify:track:6jypaMkKsoc5npsVzxhksl,https://api.spotify.com/v1/tracks/6jypaMkKsoc5npsVzxhksl,https://api.spotify.com/v1/audio-analysis/6jypaMkKsoc5npsVzxhksl,39640,4
0.371,0.655,0,-9.901,1,0.0771,0.0526,2.14e-06,0.168,0.855,147.794,audio_features,6qUkNMd34rjpDP5EUy9JNS,spotify:track:6qUkNMd34rjpDP5EUy9JNS,https://api.spotify.com/v1/tracks/6qUkNMd34rjpDP5EUy9JNS,https://api.spotify.com/v1/audio-analysis/6qUkNMd34rjpDP5EUy9JNS,64766,4
0.855,0.663,5,-8.401,0,0.2,0.194,0.0013,0.146,0.815,77.978,audio_features,1VZLEW5ZfcAbKZ94XQiSZF,spotify:track:1VZLEW5ZfcAbKZ94XQiSZF,https://api.spotify.com/v1/tracks/1VZLEW5ZfcAbKZ94XQiSZF,https://api.spotify.com/v1/audio-analysis/1VZLEW5ZfcAbKZ94XQiSZF,85754,4
0.548,0.461,9,-10.17,0,0.0397,0.754,0.0522,0.11,0.64,84.723,audio_features,7aVKQJZwdqyEPkvKSyEuxj,spotify:track:7aVKQJZwdqyEPkvKSyEuxj,https://api.spotify.com/v1/tracks/7aVKQJZwdqyEPkvKSyEuxj,https://api.spotify.com/v1/audio-analysis/7aVKQJZwdqyEPkvKSyEuxj,88187,4
0.505,0.119,7,-17.252,1,0.0425,0.893,0.0,0.198,0.371,85.953,audio_features,4wOYt5nULk1Cu8pwJWk26m,spotify:track:4wOYt5nULk1Cu8pwJWk26m,https://api.spotify.com/v1/tracks/4wOYt5nULk1Cu8pwJWk26m,https://api.spotify.com/v1/audio-analysis/4wOYt5nULk1Cu8pwJWk26m,85840,4
0.489,0.624,4,-1.916,0,0.0344,0.834,0.347,0.325,0.574,167.108,audio_features,6cmt9CRoK0KGcNg9Tpje53,spotify:track:6cmt9CRoK0KGcNg9Tpje53,https://api.spotify.com/v1/tracks/6cmt9CRoK0KGcNg9Tpje53,https://api.spotify.com/v1/audio-analysis/6cmt9CRoK0KGcNg9Tpje53,66133,4
0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,audio_features,4S4Mfvv03M1cHgIOJcbUCL,spotify:track:4S4Mfvv03M1cHgIOJcbUCL,https://api.spotify.com/v1/tracks/4S4Mfvv03M1cHgIOJcbUCL,https://api.spotify.com/v1/audio-analysis/4S4Mfvv03M1cHgIOJcbUCL,133680,4
0.59,0.446,0,-12.759,0,0.0731,0.621,0.00235,0.0731,0.399,140.081,audio_features,1wYIv0ySOwjMFWLOtrgtbo,spotify:track:1wYIv0ySOwjMFWLOtrgtbo,https://api.spotify.com/v1/tracks/1wYIv0ySOwjMFWLOtrgtbo,https://api.spotify.com/v1/audio-analysis/1wYIv0ySOwjMFWLOtrgtbo,73387,4
0.525,0.131,0,-12.787,1,0.458,0.983,0.00433,0.12,0.811,107.007,audio_features,2JUqYobT8NvARdPmc4ES2x,spotify:track:2JUqYobT8NvARdPmc4ES2x,https://api.spotify.com/v1/tracks/2JUqYobT8NvARdPmc4ES2x,https://api.spotify.com/v1/audio-analysis/2JUqYobT8NvARdPmc4ES2x,66786,5
0.77,0.836,7,-5.322,1,0.065,0.0548,0.0,0.143,0.425,84.944,audio_features,2E4INiVkDRBXXkFL4kB1Vk,spotify:track:2E4INiVkDRBXXkFL4kB1Vk,https://api.spotify.com/v1/tracks/2E4INiVkDRBXXkFL4kB1Vk,https://api.spotify.com/v1/audio-analysis/2E4INiVkDRBXXkFL4kB1Vk,91783,4
0.746,0.429,7,-11.143,1,0.494,0.985,0.0,0.149,0.932,88.413,audio_features,1IdZvb2XK8NmsovQlV6CPn,spotify:track:1IdZvb2XK8NmsovQlV6CPn,https://api.spotify.com/v1/tracks/1IdZvb2XK8NmsovQlV6CPn,https://api.spotify.com/v1/audio-analysis/1IdZvb2XK8NmsovQlV6CPn,86944,3
0.774,0.508,9,-7.897,0,0.0732,0.0101,6.54e-05,0.0539,0.45,80.13,audio_features,1BSZGNpIm2nBt1hWSK2bRp,spotify:track:1BSZGNpIm2nBt1hWSK2bRp,https://api.spotify.com/v1/tracks/1BSZGNpIm2nBt1hWSK2bRp,https://api.spotify.com/v1/audio-analysis/1BSZGNpIm2nBt1hWSK2bRp,98250,4
0.545,0.545,9,-7.362,1,0.107,0.667,5.48e-05,0.417,0.549,159.94,audio_features,3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,184516,3
